1.367	0.38058	0.36908	1.3739	1.0636	-0.0019772	0.34761	0.7375	0.33833	0.72545	1.0459	1.419	0.74683	1.0883	-0.31315	1.0625	1.0867	0.73216	0.74996	1.4253	1.093	0.74054	0.38942	0.40104	1.0748	1.4422	0.75321	0.73135	1.4278	1.078	0.75447	1.7687	0.72583	1.0664	1.0671	0.060336	0.72871	0.40324	0.7541	1.7887	0.73105	1.4141	1.4194	1.0864	0.74602	1.0622	1.4187	0.056466	1.091	0.39798
1.1566	2.1889	1.4711	1.4732	2.1931	1.818	1.1641	1.5064	1.8523	1.5142	2.2059	1.1708	1.4961	1.195	0.82498	0.82291	1.8423	1.5039	1.8493	1.5108	1.5177	1.1752	1.504	2.1953	1.8465	2.2352	1.2061	2.1995	1.8661	1.8467	1.8596	1.52	1.8481	1.8488	2.2332	1.2015	1.5234	2.5323	0.81163	1.2	1.1985	2.2315	0.85071	1.8779	1.5063	1.1625	0.83482	1.1916	0.46838	1.8411
1.9169	1.5689	2.605	2.2638	2.2663	2.6263	2.271	1.9408	1.9225	1.2405	2.2721	1.9274	1.2564	0.90622	2.6137	2.2787	2.2813	2.6367	1.6159	2.3038	2.2913	2.2888	2.2938	2.6587	1.2546	1.6209	2.3047	1.9655	1.6162	2.6566	2.6394	2.2899	1.9681	1.9511	1.6122	1.9631	2.9939	1.9684	2.6593	2.3063	1.6171	2.6581	2.2908	2.6548	2.3023	2.3011	2.2877	2.9917	2.288	2.302
3.0417	3.0666	3.7217	2.6942	2.3882	3.0705	3.4227	3.3809	3.0766	3.7683	3.036	2.7189	3.4038	3.7235	2.6945	3.0529	3.4307	3.4063	3.4342	3.0633	2.747	3.412	3.0563	3.4088	2.4045	2.0555	3.4102	3.4148	2.7478	3.416	3.4094	3.4099	3.0443	3.0449	2.3794	3.7364	3.0472	3.0642	3.0626	2.3764	2.7197	2.7183	3.7493	3.4032	3.417	3.3957	2.727	2.7195	3.7505	3.7431
3.0438	3.7702	3.3891	3.4395	3.7918	3.4302	3.1061	3.4419	3.4437	3.0929	3.7905	3.7919	4.4893	4.4842	3.1113	3.4462	3.4468	3.7924	3.794	4.1354	4.1428	4.4816	3.455	3.4436	3.7946	3.7894	3.7833	3.0986	3.7845	4.1189	4.1318	3.4485	4.4829	4.1335	4.1211	3.7881	3.7903	3.4335	3.4405	4.1252	3.4361	3.7871	3.7957	4.4782	3.7895	4.4795	3.7881	4.1158	3.4537	3.7763
4.6151	4.2601	4.2567	4.6177	4.2625	4.9623	4.6004	4.9661	4.9516	4.2655	4.6145	3.9357	3.9206	4.2716	4.2888	4.2659	4.2746	4.2919	4.2711	4.2787	4.2671	4.612	4.273	4.2762	4.2933	4.618	5.3026	4.2793	4.6414	4.9536	4.6078	4.6122	4.9528	4.6134	4.9541	3.921	4.6434	4.6127	3.9443	4.6352	3.9499	4.9771	4.638	4.6388	5.6732	4.6432	4.6156	4.6365	4.2967	4.9732
5.2604	5.2631	4.9536	4.9328	4.9359	5.3018	4.934	4.9319	4.2712	4.9626	4.6138	5.9948	5.3058	4.9668	5.2754	5.2801	4.5911	4.5883	4.9657	4.967	5.2857	5.9729	5.2877	4.9485	4.589	4.2674	5.2981	4.941	5.2992	5.2858	5.2862	4.5926	5.3009	4.937	4.6054	4.9562	4.957	4.2655	4.5926	4.6096	4.9606	5.9754	5.2955	5.2801	5.9709	4.5935	5.2952	4.6077	4.6079	4.6083
5.6679	4.9807	5.2959	5.3366	5.976	5.3427	5.6845	5.67	5.3454	5.6829	5.3437	5.6823	5.6855	5.6704	6.3775	6.0285	6.3771	6.0304	6.0252	6.3579	5.6689	6.376	6.7168	5.3499	6.3784	6.0315	5.3359	5.6903	6.008	5.6846	6.3749	5.3327	5.3329	6.0136	6.3766	5.6875	6.0216	5.6701	6.3571	5.3558	6.3754	6.0101	5.6871	6.0393	6.39	5.6768	6.034	6.0343	5.6946	6.0111
6.4371	7.4761	6.439	6.7883	6.7898	6.7894	6.4733	7.137	6.4517	6.7986	6.1133	6.4542	6.4493	6.7964	7.1412	7.166	7.1669	6.8279	6.4789	6.8298	6.4569	6.4817	6.4501	6.4508	6.8277	6.8022	6.1388	6.1393	6.4536	6.8278	6.4804	6.4477	6.1339	6.132	6.7989	6.4735	7.1644	7.1654	5.7627	6.8209	6.1318	6.1327	6.4734	6.128	7.1648	6.833	6.4759	6.13	6.1364	5.7801
7.1046	7.8014	8.1544	6.4375	6.4408	6.7843	6.7817	7.1326	7.4734	6.0942	6.785	7.1398	6.7907	6.4517	6.7829	7.4715	6.7848	6.4457	6.4505	7.4814	6.4523	6.103	7.1376	6.4483	7.4867	6.7834	6.8115	7.4881	7.1623	7.4749	8.179	6.459	7.1351	6.7923	7.8368	7.8239	7.159	7.8263	7.8412	6.8122	7.4893	7.1501	7.8119	6.8087	6.4569	7.8398	7.5003	6.7845	7.161	6.1091
7.8139	7.4668	7.4699	7.8569	7.476	7.8626	7.5155	7.8679	7.1393	7.8778	7.1747	7.5295	8.5566	7.8814	7.1923	6.4893	7.8842	7.1893	7.8802	6.851	7.5318	7.5202	7.8832	7.8777	8.9084	7.5289	8.5693	7.1835	7.5238	7.8678	7.5241	7.8679	7.1901	7.5176	7.5181	7.1568	7.1742	8.2053	8.2125	7.5172	7.1781	6.8466	7.8534	7.504	7.5207	7.8485	7.8728	7.1754	7.8736	7.8506
8.5858	8.2472	8.5826	8.2489	7.9014	7.9042	7.5633	8.604	8.942	8.6066	7.568	9.2928	7.9175	7.9146	9.2994	8.2664	7.9174	7.9221	7.9227	7.9175	8.6085	7.5735	8.9503	8.2647	8.2714	8.6119	8.6061	8.2726	8.6005	8.2607	7.9108	7.9107	7.9106	8.5847	9.2751	8.926	8.5872	8.2581	7.909	7.9376	7.8946	7.943	8.6298	8.2903	8.9708	8.2913	8.289	8.6297	9.3204	8.9673
8.2101	8.8688	9.2119	9.5583	9.2109	8.9076	9.2505	9.2536	9.2567	8.5679	8.2287	8.9079	9.255	8.9159	8.5606	8.9177	8.5619	8.9185	8.563	8.9138	9.9391	9.2504	9.2517	8.5622	8.2165	8.5569	9.2472	8.2237	8.9077	8.2179	8.5518	9.9317	8.9356	9.242	8.6102	9.627	8.588	9.279	8.6076	8.5507	8.9354	8.936	9.3004	8.6109	8.5876	8.612	8.2727	8.9395	8.2414	8.9344
9.1953	9.2038	9.2062	9.2111	9.88	9.2167	9.5597	9.2089	8.8683	10.259	9.2159	9.2306	9.226	10.597	9.5675	9.9012	10.258	9.5682	9.2289	8.8798	9.9048	9.2324	10.942	9.8972	9.2238	9.5641	9.5644	9.8984	9.5586	9.5585	9.8984	8.8624	9.5525	9.5528	9.8972	9.2141	8.8649	9.5559	9.5568	9.2214	9.556	9.8966	9.2171	8.2052	8.8682	9.2227	9.2195	9.2202	8.8747	8.2028
11.258	9.544	10.223	9.5353	9.8966	10.59	9.9025	10.246	10.249	9.9123	9.5645	9.9092	9.9102	10.244	9.898	9.9042	9.5607	10.589	10.59	9.557	9.9021	9.2199	10.246	10.242	10.947	10.243	9.9032	10.607	8.8867	9.9165	9.9026	10.251	10.251	9.5611	9.9117	10.253	9.9134	10.248	10.599	10.606	10.244	9.5549	9.5692	9.216	9.5704	9.5711	9.2317	9.5723	9.5868	10.264
10.14	10.482	9.8186	10.511	11.544	10.862	10.175	11.208	10.871	10.875	10.878	11.193	9.8122	10.847	10.156	10.496	10.497	11.528	10.162	10.5	11.195	10.507	10.165	10.162	9.8175	10.164	10.507	10.167	11.19	10.5	10.184	9.8164	10.495	10.155	10.87	11.187	10.847	10.499	10.523	10.85	9.8346	9.8292	9.8297	10.18	9.8308	10.525	10.522	9.1427	10.523	9.4978
11.553	10.879	11.218	11.234	10.887	10.885	10.888	10.551	11.228	10.898	11.94	10.902	11.235	10.539	11.229	10.223	11.57	10.881	10.202	10.567	10.885	10.547	11.262	11.599	11.262	10.572	10.595	11.261	10.231	10.571	10.935	11.285	9.8993	10.59	11.281	10.251	11.282	10.227	11.259	10.255	10.256	10.224	10.225	9.8755	10.566	9.5367	10.241	9.5516	10.909	10.569
10.493	11.876	11.538	11.215	11.217	11.905	10.189	10.882	11.914	11.226	11.918	11.92	11.231	11.579	11.579	11.23	10.89	11.231	11.582	11.584	11.585	11.581	11.923	10.89	10.542	10.893	12.263	10.543	10.906	11.246	11.246	10.556	11.241	11.242	10.903	11.594	10.904	10.579	11.27	10.908	11.962	10.903	11.958	10.578	9.8986	11.269	10.58	10.951	10.905	10.574
11.668	11.694	11.357	11.336	12.048	12.391	11.364	11.706	12.058	11.37	11.716	11.717	11.379	11.034	12.404	10.685	11.375	11.377	11.718	11.719	11.381	11.726	12.078	11.385	12.416	11.388	11.39	11.729	11.049	10.703	11.393	10.363	11.728	10.699	11.73	10.701	11.051	11.392	12.424	11.759	11.76	11.415	10.725	11.076	11.076	11.417	10.388	10.728	11.079	11.073
11.808	11.824	11.487	12.175	12.178	11.491	11.833	11.835	12.187	12.529	11.824	11.842	11.822	12.513	12.863	12.514	11.135	11.136	11.827	11.482	11.83	11.826	12.172	11.824	12.176	11.827	11.829	12.87	11.514	10.824	11.854	11.849	11.509	12.89	12.201	10.822	12.202	11.197	11.515	11.55	11.196	10.517	11.887	11.198	11.549	11.549	11.173	10.834	11.174	10.835
