La	Lo	Sig	Theta	Ice
64.251000	132.270000	-6.440100	-17.425000	1
64.109000	132.160000	-3.457300	-15.148000	1
63.925000	132.010000	-5.305700	-12.117000	1
63.131000	131.360000	-2.465600	1.487000	1
63.115000	131.450000	-0.405360	1.487400	1
63.099000	131.540000	-5.556600	1.485900	1
63.082000	131.630000	-1.439000	1.486500	1
63.066000	131.720000	-3.155700	1.487300	1
63.088000	131.330000	-4.649200	2.236100	1
63.072000	131.420000	-4.308900	2.236600	1
63.044000	131.290000	-6.774200	2.992400	1
63.001000	131.260000	-6.464400	3.747500	1
62.913000	131.190000	-7.501000	5.256100	1
62.869000	131.150000	-5.940000	6.010100	1
62.781000	131.080000	-5.733300	7.521800	1
62.693000	131.010000	-7.329500	9.034200	1
