La	Lo	Sig	Theta	Ice
58.021000	160.620000	-6.753200	-9.840600	1
58.049000	160.680000	-6.435800	-9.840800	1
58.078000	160.740000	-3.006600	-9.840700	1
58.106000	160.810000	1.461800	-9.840700	1
58.134000	160.870000	0.431880	-9.840600	1
58.163000	160.940000	-0.926640	-9.840500	1
58.191000	161.000000	2.834600	-9.840600	1
58.219000	161.060000	-0.236180	-9.840600	1
58.247000	161.130000	-4.008700	-9.840500	1
58.276000	161.190000	-6.055800	-9.840700	1
58.304000	161.260000	-9.505800	-9.840600	1
58.332000	161.320000	-5.372800	-9.840600	1
57.375000	159.490000	-7.566400	-8.330700	1
57.404000	159.550000	-4.121600	-8.330700	1
57.433000	159.610000	2.748100	-8.330900	1
57.462000	159.670000	0.342010	-8.330700	1
57.491000	159.730000	-2.748000	-8.330600	1
57.520000	159.790000	-3.437700	-8.330800	1
57.549000	159.860000	-4.815300	-8.330500	1
57.577000	159.920000	-4.138700	-8.330700	1
57.606000	159.980000	-1.034400	-8.330600	1
57.635000	160.040000	-5.153200	-8.330600	1
57.664000	160.100000	-5.496900	-8.330700	1
57.692000	160.170000	-3.100200	-8.330600	1
57.721000	160.230000	-6.551900	-8.330700	1
57.750000	160.290000	-5.163900	-8.330800	1
57.778000	160.350000	-6.544000	-8.330600	1
57.807000	160.420000	-5.499500	-8.330700	1
57.836000	160.480000	-3.114200	-8.330600	1
57.864000	160.540000	2.371200	-8.330700	1
57.893000	160.610000	-0.737730	-8.330800	1
57.921000	160.670000	-5.555700	-8.330800	1
57.949000	160.730000	-4.158700	-8.330800	1
57.978000	160.800000	-3.800800	-8.331000	1
58.006000	160.860000	-1.400500	-8.330900	1
58.035000	160.920000	-2.755300	-8.330900	1
58.063000	160.990000	-4.804100	-8.330800	1
58.091000	161.050000	-2.399800	-8.330700	1
58.119000	161.110000	0.006859	-8.330700	1
58.147000	161.180000	-0.679130	-8.330700	1
58.176000	161.240000	-4.122600	-8.330700	1
57.630000	160.700000	-6.014700	-4.557200	1
57.659000	160.760000	-4.640800	-4.557000	1
57.687000	160.820000	-7.376400	-4.557200	1
57.715000	160.890000	-7.390600	-4.557200	1
57.744000	160.950000	-4.969400	-4.557200	1
57.772000	161.010000	-0.859640	-4.557200	1
57.800000	161.080000	-3.938600	-4.557400	1
57.828000	161.140000	-2.911800	-4.557300	1
57.857000	161.200000	-7.031800	-4.557300	1
57.885000	161.270000	-3.590500	-4.557100	1
57.913000	161.330000	-3.593800	-4.557100	1
57.941000	161.400000	-3.589900	-4.557100	1
57.969000	161.460000	-2.209700	-4.557100	1
57.997000	161.520000	-3.929500	-4.557000	1
58.025000	161.590000	-4.630000	-4.557200	1
58.053000	161.650000	-9.451000	-4.557000	1
58.081000	161.720000	-3.939100	-4.557100	1
58.108000	161.780000	-4.271600	-4.557100	1
58.136000	161.840000	-4.617800	-4.557100	1
58.164000	161.910000	-2.557200	-4.557400	1
58.192000	161.970000	-0.483390	-4.557100	1
57.369000	160.790000	1.909600	-0.792030	1
57.398000	160.850000	0.529710	-0.792100	1
57.426000	160.910000	2.945300	-0.792120	1
57.454000	160.970000	4.662700	-0.792110	1
57.482000	161.040000	5.008300	-0.791980	1
57.511000	161.100000	5.008700	-0.792040	1
57.539000	161.160000	-1.186400	-0.792070	1
57.567000	161.230000	0.536800	-0.792010	1
57.595000	161.290000	5.007300	-0.792100	1
57.623000	161.350000	3.294300	-0.792150	1
57.651000	161.410000	0.540090	-0.792150	1
57.679000	161.480000	5.360500	-0.792220	1
57.707000	161.540000	5.360700	-0.792010	1
57.735000	161.610000	4.670900	-0.791950	1
57.763000	161.670000	6.391200	-0.792020	1
