La	Lo	Sig	Theta	Ice
62.711000	143.560000	-4.878600	-18.176000	1
62.732000	143.650000	-6.958100	-18.176000	1
62.754000	143.730000	-6.954800	-18.176000	1
62.775000	143.810000	-9.012900	-18.175000	1
62.797000	143.900000	-8.676300	-18.176000	1
62.818000	143.980000	-5.909200	-18.176000	1
62.839000	144.070000	-8.335700	-18.176000	1
62.860000	144.150000	-9.001300	-18.176000	1
62.882000	144.240000	-7.622300	-18.176000	1
62.903000	144.320000	-7.633700	-18.176000	1
62.924000	144.400000	-7.283100	-18.175000	1
62.945000	144.490000	-6.935300	-18.176000	1
62.966000	144.570000	-7.290300	-18.176000	1
62.987000	144.660000	-7.639800	-18.176000	1
64.928000	155.530000	-7.133300	-16.658000	1
64.941000	155.630000	-6.779400	-16.658000	1
64.955000	155.730000	-6.446400	-16.659000	1
64.968000	155.830000	-5.058000	-16.658000	1
64.982000	155.930000	-4.721500	-16.659000	1
64.995000	156.030000	-4.385100	-16.658000	1
65.008000	156.130000	-5.748000	-16.658000	1
65.021000	156.230000	-6.105300	-16.659000	1
65.034000	156.330000	-6.438100	-16.658000	1
65.048000	156.430000	-7.139400	-16.659000	1
65.060000	156.530000	-7.139500	-16.658000	1
65.073000	156.630000	-6.105200	-16.659000	1
62.349000	144.130000	-6.020000	-11.359000	1
62.370000	144.210000	-6.023900	-11.359000	1
62.391000	144.290000	-6.020400	-11.359000	1
62.412000	144.380000	-8.095100	-11.359000	1
62.433000	144.460000	-8.102500	-11.359000	1
62.454000	144.540000	-6.374100	-11.359000	1
62.475000	144.630000	-7.751800	-11.359000	1
62.496000	144.710000	-6.721300	-11.359000	1
62.517000	144.790000	-6.381200	-11.359000	1
62.538000	144.880000	-7.743900	-11.359000	1
62.558000	144.960000	-5.346800	-11.359000	1
62.579000	145.050000	-9.132200	-11.358000	1
62.600000	145.130000	-8.101200	-11.359000	1
62.620000	145.220000	-5.686000	-11.359000	1
60.946000	139.420000	-5.039600	-10.598000	1
60.970000	139.500000	-5.047500	-10.597000	1
60.994000	139.570000	-4.699200	-10.598000	1
61.018000	139.650000	-8.141300	-10.598000	1
61.042000	139.730000	-5.733000	-10.598000	1
61.066000	139.800000	-5.041900	-10.599000	1
61.090000	139.880000	-5.045900	-10.599000	1
61.113000	139.950000	-4.352000	-10.598000	1
61.137000	140.030000	-6.396400	-10.599000	1
61.161000	140.110000	-7.427100	-10.598000	1
61.185000	140.180000	-6.766000	-10.597000	1
62.185000	144.540000	-6.217400	-7.575800	1
62.206000	144.620000	-5.527400	-7.575500	1
62.227000	144.710000	-5.531200	-7.575500	1
62.247000	144.790000	-6.901400	-7.575500	1
62.268000	144.870000	-5.523200	-7.576100	1
62.289000	144.960000	-6.553100	-7.576400	1
62.310000	145.040000	-6.553000	-7.576300	1
62.330000	145.120000	-6.213100	-7.575900	1
62.351000	145.210000	-5.522800	-7.575900	1
64.216000	156.210000	-4.894900	-4.558600	1
64.229000	156.310000	-4.558600	-4.558300	1
64.242000	156.400000	-3.528100	-4.558700	1
64.255000	156.500000	-4.901400	-4.558900	1
64.268000	156.590000	-4.214800	-4.559000	1
64.281000	156.690000	-3.871200	-4.558800	1
64.294000	156.790000	-3.527300	-4.559000	1
64.306000	156.890000	-5.587800	-4.558300	1
64.319000	156.980000	-5.247400	-4.558700	1
