0.95595	-0.022476	0.95666	0.65319	0.26369	0.30156	0.30191	0.31605	-0.074945	0.65302	0.62965	0.65243	0.30278	0.62724	0.96763	1.318	0.99214	0.31625	1.3567	0.99084	1.3412	1.6806	0.99095	2.3852	1.6956	2.3698	1.3339	1.6968	0.99096	1.6752	1.6784	2.0189	2.3856	2.0135	2.3639	2.3643	2.0371	1.3588	1.0079	2.0187	1.6817	2.3873	0.32144	1.0069	1.6987	1.6978	2.7296	3.0837	2.7268	1.6971	1.6949	2.0139	2.0142	2.3922	0.65129	1.6971	2.0226	2.0348	1.0077	1.7021	1.6988	1.3593	1.3598	2.044	0.66818	1.3761	1.7131	2.0297	2.7202	2.0369	2.405	1.7004	2.4061	2.7305	2.7061	2.3817	2.0172	2.7043	2.7087	2.7031	2.3699	1.3515	1.6805	2.0183	2.0211	1.6716	1.332	2.3662	2.019	2.0131	1.0009	1.6751	1.3354	2.3684	1.6926	1.3356	1.6722	1.69	2.7203	2.013	2.7033	2.031	3.0551	3.0591	2.7184	2.3662	2.3653	2.3631	3.0573	2.0301	2.0418	2.7084	2.7049	3.0557	2.7059	2.7062	2.7189	2.3903	3.0568	2.0482	3.4209	2.0409	2.7279	1.7058	2.4026	2.7057	2.7299	3.0943	3.4286	2.7454	3.0897	3.0795	2.7302	3.081	2.7318	3.0827	2.0511	2.0581	3.0927	2.7433	2.044	2.7471	3.0976	3.4255	3.0897	3.09	3.0991	2.7407	2.076	1.73	2.4379	2.438	2.7748	2.4188	3.1015	3.1092	2.7758	2.0748	2.0864	2.0629	2.4131	2.4336	2.0812	2.0951	1.7439	1.7559	2.433	2.0701	2.0847	1.4192	1.7602	1.0707	1.7577	2.4641	1.4185	1.4189	1.4067	1.058	1.7482	1.4162	2.7731	1.7574	1.758	1.7447	1.4189	2.0857	1.4197	0.71876	1.7605	1.421	1.0675	1.0541	1.4186	1.0693	1.4238	1.44	1.1121	0.73578	1.7455	0.054786	1.0743	1.4249	1.4217
1.7542	2.0885	1.725	1.0829	1.0594	0.73355	0.3939	0.70909	0.71083	1.0577	1.4257	1.4109	1.4112	2.1168	2.8035	1.74	2.8042	1.7645	1.4213	1.4217	1.7621	1.0825	1.4104	2.1009	1.7675	1.4279	2.4583	1.749	1.7618	2.4561	2.1003	4.1646	2.8288	2.8078	2.8296	2.1399	2.4555	2.7935	2.4777	2.8068	2.4786	3.1691	1.7871	1.79	1.447	2.4775	2.4754	2.8282	2.4785	2.8264	1.7891	2.4794	2.4798	2.1401	1.107	1.7876	3.1345	2.7926	1.7869	2.1312	1.7565	2.1384	2.1389	1.7858	2.4425	3.5067	2.4794	2.4749	3.1616	2.4721	2.1412	2.8235	3.1641	3.5009	2.9077	3.2259	2.9089	2.8871	3.2315	3.2346	3.2514	2.2219	2.1961	2.9089	1.8654	3.2348	3.5676	3.918	2.5383	2.5387	1.8552	2.8859	2.5576	3.2343	2.8872	1.8515	3.5681	3.5721	3.5748	3.5902	3.2615	3.5734	3.2261	2.5401	2.5366	2.5369	3.5749	2.2051	2.5593	2.2163	3.2467	2.8894	3.5736	3.5876	3.2479	3.5919	3.2483	2.8948	3.5892	2.8918	2.9095	4.2759	3.2673	2.9275	3.2505	3.2448	2.9291	3.2458	2.5944	2.9274	3.2505	3.245	3.252	2.9128	3.2498	4.3021	3.273	3.5927	3.611	3.6116	2.9497	3.9465	3.9631	3.9635	2.9339	3.2545	3.9611	3.9615	2.9218	3.9497	3.2599	3.9339	3.5966	3.5968	3.6009	3.245	3.2454	2.5744	2.5649	2.919	3.5992	2.9156	2.2295	2.2133	2.9159	3.256	3.9506	2.2118	3.2427	3.2597	2.2266	2.5523	2.9091	2.9058	2.2375	2.5728	1.8793	2.5695	1.8672	1.5398	1.8804	2.2148	2.2316	2.2196	1.8825	1.2079	1.8848	1.5276	2.2117	1.5458	1.5288	1.8871	1.5554	2.5623	2.2179	2.2126	1.9084	1.1914	1.5321	1.1914	1.5496	1.5502	1.2183
2.1742	2.867	1.8349	2.1752	1.8494	2.1759	1.8464	2.1868	2.1796	2.8777	2.188	2.1884	2.1811	2.1968	2.5471	3.2026	1.8542	1.497	1.855	2.8716	2.2134	3.2262	2.189	3.2132	2.8763	2.8843	2.8847	2.8851	3.5794	2.5636	2.5502	2.5644	2.9048	2.9017	4.2646	2.8773	3.2177	3.5933	2.9037	2.9217	2.887	2.9051	3.2283	2.2163	2.563	2.5672	3.2438	3.2441	3.5807	2.9086	2.9051	3.592	3.2423	3.2427	3.593	3.5935	1.8915	2.5645	2.5826	3.2456	2.9026	2.9206	2.2311	2.5677	3.262	2.9223	2.9203	2.9068	3.6074	3.2579	2.5822	3.609	3.612	2.9226	2.9833	4.0377	3.6721	3.6728	3.0095	4.0366	4.7272	4.3853	3.3458	4.0124	3.6989	2.9855	4.0373	3.3501	3.6945	3.0048	4.3853	4.0356	4.0574	4.3803	3.6732	3.7189	3.3419	4.0384	3.6713	3.6929	2.6869	3.3396	3.3222	3.3401	3.3466	3.3407	3.3449	3.6918	3.3659	4.4063	3.3666	2.6869	3.6897	3.69	4.0303	3.0247	3.3411	3.3627	4.4054	4.0279	3.7156	3.7157	3.7158	4.0559	3.7162	3.7134	3.714	4.0383	4.0313	3.7157	4.054	3.7184	3.7192	4.3925	4.0398	4.0545	3.7178	4.0587	4.0571	4.0753	4.0444	3.7187	3.7191	3.3659	3.7201	3.7343	3.7208	4.0612	3.6239	3.9818	3.982	3.986	3.9825	2.9529	2.9533	3.2902	2.9619	3.6447	3.6388	2.9514	3.6454	3.628	3.2919	3.2958	2.6123	3.6363	3.6505	3.9838	2.9622	2.9967	2.9561	2.9567	2.611	2.3054	2.962	2.996	2.9963	2.6565	2.9806	2.2656	2.2733	2.6239	1.9646	2.6213	2.6393	2.6222	2.9625	2.2904	2.6446	2.6454	1.9561	3.0089	2.3064	2.657	2.332	1.6418	2.999	1.9609	1.9578	1.6047	1.9715	2.3	1.6105
3.6471	4.0037	3.3103	2.9545	3.6448	3.989	3.3056	2.9559	3.6463	3.6467	2.9947	3.6377	2.9918	2.9484	4.3727	2.9492	3.6396	2.6222	3.344	2.9944	3.315	3.6817	3.6559	4.3463	3.3167	2.9671	3.6576	4.7018	3.3446	2.9653	3.3195	3.6823	3.6603	4.6845	3.6572	4.6853	4.3495	4.0123	3.3153	4.6996	4.6839	4.0106	4.0403	4.343	4.6996	4.01	3.993	3.6596	4.3337	4.6917	4.0081	4.3347	3.3187	3.3267	4.3433	3.3274	4.0007	2.9612	3.3255	3.6898	3.3189	3.3508	3.6674	2.9778	3.6921	3.3251	4.3793	3.6934	3.666	4.3426	4.0407	4.0413	3.3519	3.3528	3.7495	4.0641	3.7385	4.4054	4.7722	4.4228	4.4071	3.3763	4.4083	4.4089	4.0641	3.3921	4.4064	4.7567	3.7495	4.4075	4.7903	4.0845	4.0687	4.0894	4.0661	5.4605	4.4074	4.0678	4.0681	3.4021	3.4023	4.1202	3.7704	4.0933	3.7398	4.434	4.0906	3.4009	3.4012	3.7454	3.7696	3.4265	3.3992	4.0895	4.1112	3.7438	4.1179	4.1119	4.4583	4.4598	4.4552	3.4014	4.1091	4.8054	4.8055	3.7834	5.1402	4.4508	3.4452	5.1659	4.8231	5.14	4.4746	4.1116	4.8101	4.8109	3.448	4.829	4.4638	4.4769	3.795	4.8116	4.4783	4.4787	3.7967	2.7594	4.1474	4.4801	4.8042	4.4883	4.4512	3.8091	4.1434	4.1601	4.453	4.5009	4.4875	3.4578	3.8119	3.7609	4.1111	3.8089	3.469	3.4529	3.453	3.4557	3.4559	3.1039	4.1413	3.1044	4.8489	3.4694	4.1599	3.4479	3.4707	4.1624	2.7813	3.7892	3.4682	2.4384	3.1238	3.4701	3.4468	3.1034	3.1201	2.7818	3.1222	3.1265	2.7561	2.7807	2.7852	3.4484	2.7828	3.1235	3.5053	3.4509	3.1328	3.1224	3.4768	3.4736	2.4442	3.4749	3.4755
4.0075	4.0217	4.0498	4.3587	3.6828	4.0509	4.3976	5.0503	4.4121	4.0149	3.0329	3.3595	4.3661	4.0503	4.4006	3.3711	4.0553	4.7518	4.4122	4.4064	4.753	4.4134	4.7538	5.0769	4.7511	4.7392	4.412	4.4124	4.399	5.0932	3.7174	4.4139	4.0505	4.0488	4.7516	5.4296	4.4	5.4243	4.0632	5.0813	4.3956	4.7449	4.7331	4.0559	4.4063	4.4005	4.3885	4.395	5.4316	4.7295	4.736	4.3866	4.3869	4.0511	4.3938	5.0804	4.0383	4.395	4.0532	4.4037	3.7283	4.4011	4.0516	4.402	4.0385	4.4165	3.7054	4.3957	3.7274	4.3866	4.4222	4.759	4.7559	4.7565	4.0834	4.8002	5.5023	4.7891	4.4673	4.4881	5.4634	5.804	4.466	4.789	4.8133	5.1537	5.1541	5.1446	5.1136	5.1692	4.812	4.49	4.1405	5.5034	4.8139	5.1307	5.1728	4.8298	4.5075	4.8631	4.4668	4.1232	4.8073	4.4852	5.1717	4.8321	4.8227	4.4831	5.1635	4.4662	4.8242	5.5146	5.5211	4.4676	5.1693	4.8285	4.8301	5.5189	4.4891	4.823	4.1331	4.8233	5.1671	5.1634	4.8272	4.4615	4.8206	4.8288	4.8256	5.8501	4.4545	4.8215	4.4822	4.4793	5.1566	4.4551	5.1361	5.137	4.484	5.161	4.4853	4.4858	5.1662	4.4906	4.4834	5.1714	4.4917	5.172	4.0323	4.3902	5.413	4.7097	5.064	4.3846	4.3652	4.368	4.0397	4.7063	3.7003	4.7092	4.0331	4.7233	4.731	4.3674	4.0516	4.0518	4.0145	4.7047	4.7053	3.6998	4.0542	4.0548	5.0715	4.052	4.4025	3.7128	4.0531	4.7434	4.0536	5.07	3.7139	4.3778	4.0243	4.0372	3.7114	3.0217	3.7125	3.3371	4.054	3.7148	4.0631	3.69	3.0601	3.7216	3.7298	2.675	3.7156	3.7276	3.6906	4.4151	4.0695	3.3841	4.0671
5.2175	3.8165	5.2146	4.5073	4.1853	3.8357	5.2337	5.2165	5.9245	4.8849	4.8816	5.232	4.5185	4.8827	4.883	5.2096	4.8599	4.8841	4.5445	4.8812	4.8578	5.5559	4.2025	5.2106	5.5572	5.5738	4.8681	4.8811	4.2014	4.8818	5.216	5.2326	5.2168	4.521	4.5437	5.2395	5.2125	4.863	4.8657	5.5562	4.5205	5.9048	5.2153	4.5219	5.2123	4.5468	5.5772	4.5199	4.8602	4.892	5.2385	5.905	4.8929	4.2094	4.5536	4.5443	4.547	4.8912	5.2356	4.5461	5.2427	5.2432	4.8812	4.8902	4.8909	4.5512	4.8915	4.888	4.212	4.5461	4.8927	5.9271	4.8842	5.2349	4.5179	5.5662	5.2544	5.5712	5.228	5.5724	5.5691	4.9073	5.2543	5.9211	5.2278	5.1996	4.9062	4.539	4.567	5.2574	4.9078	4.877	4.9051	5.2318	4.9061	5.5968	5.2451	4.5558	5.2787	5.5793	4.6053	4.9058	5.946	5.5964	5.2005	5.5847	5.2451	5.5993	5.5858	4.91	5.1992	5.5973	5.8901	5.598	5.9421	5.5986	4.8949	4.8966	4.2153	4.5658	4.8997	4.8922	5.5961	5.2561	5.2476	5.2562	5.5963	5.2445	5.2451	4.8985	5.9393	5.25	5.5907	5.2578	5.5901	5.2472	5.9419	5.5853	5.2461	5.5932	5.9416	4.8982	5.6001	5.2491	5.2533	4.8998	5.254	5.5868	4.9348	4.9275	5.2718	4.5884	5.2867	4.6011	4.5903	4.9422	4.9387	4.6028	5.2855	5.2719	4.9359	4.256	5.29	4.9402	4.9404	4.9406	4.257	4.6014	4.9455	4.2999	4.5991	4.5996	4.26	3.9181	4.6085	4.9489	4.6092	4.602	4.2584	4.2624	4.3001	4.6402	3.9501	4.2664	4.3008	3.9178	3.9185	4.2996	4.9441	3.951	5.298	3.9301	4.2669	4.2699	4.2705	4.3049	3.9517	4.266	4.6429	4.2673	3.6141	4.6447	3.9553
5.8775	4.494	5.5422	5.5464	5.883	4.8772	5.5438	5.5365	5.8846	6.2211	5.1877	4.8795	5.196	6.2227	5.5669	5.5672	5.1899	5.5679	5.5421	5.5687	5.9091	6.2496	5.5664	5.5445	5.1934	5.2177	6.5719	5.2184	5.8826	4.853	5.8835	5.5664	5.5407	5.191	5.8815	5.2095	5.5423	5.5604	5.1931	6.2236	5.2082	5.2086	5.5591	6.2219	5.5462	5.5443	4.8546	6.575	5.9015	5.8844	6.2362	5.5588	5.2068	5.2095	4.5198	5.8841	5.5444	5.8986	5.8818	5.8822	5.5703	5.207	5.8835	5.9116	4.8681	5.5584	4.8964	5.9093	5.5834	4.88	5.5565	5.9245	5.5713	6.2658	5.6288	5.6294	6.3101	6.3047	5.9515	5.6259	5.2764	6.2932	6.3076	5.6305	6.6425	5.6154	5.9521	5.9939	5.6424	6.6572	5.6276	5.6281	6.2924	5.6267	5.9673	5.6279	5.6249	5.9694	6.0027	5.6267	5.2808	5.2949	5.2951	5.2801	4.9381	5.2925	5.6291	5.6295	6.3099	6.6603	4.9406	5.9672	5.9677	5.972	5.2925	5.6289	5.9692	5.9694	5.6295	5.3042	6.3098	5.6437	5.9699	6.3203	6.6641	5.2765	6.3142	5.6344	5.635	5.6295	5.9764	5.971	5.9703	6.3153	5.9699	5.9769	5.9778	6.6625	5.2833	6.3204	5.9751	5.6321	4.9487	5.2891	5.981	5.6375	6.314	4.9443	5.6609	6.359	6.7094	6.0199	5.3143	5.6613	6.0143	5.325	6.3568	5.3294	5.6797	4.9898	5.3299	5.3138	5.3265	4.9705	6.3407	4.6371	4.9689	4.2953	4.6357	4.986	5.3128	4.9711	4.6201	4.9706	5.3086	5.3128	4.6192	4.6357	4.6235	4.9736	3.9561	4.2764	3.9401	4.6204	5.6571	4.6179	4.9725	5.0046	5.3445	5.3147	5.3331	4.9687	5.687	5.3376	5.6644	4.6486	4.3091	4.9758	4.9725	5.0007	5.3377	4.9745	5.6827
6.586	5.6002	5.9407	5.9411	6.2476	6.6319	6.5884	5.5649	5.9393	6.5858	5.2161	6.6142	6.2468	6.2748	6.2913	6.2755	6.6159	6.2726	6.9792	6.6295	6.63	7.3204	6.2909	6.6152	6.9794	6.9785	6.6127	6.963	6.2734	6.9777	6.9781	5.9386	6.979	6.6132	5.9398	5.5966	6.287	6.2874	5.9378	5.9221	7.3064	5.923	6.6135	5.9204	6.6147	6.2713	6.9655	6.2882	6.6162	5.6141	6.6168	5.9509	6.2736	6.2742	5.6084	5.6215	6.2754	5.9496	6.64	5.9266	5.9818	6.3317	6.2981	6.6385	6.9889	5.953	7.0072	4.9198	5.6101	7.3482	6.3009	5.6115	5.6257	6.3164	5.9709	5.6238	6.3144	6.3189	6.3233	6.6562	5.9667	5.9675	5.9642	6.3263	5.9653	7.0135	5.9701	7.0105	5.971	6.3254	6.6658	6.3263	6.3229	7.0135	7.0141	5.9723	5.9753	7.0075	6.6667	5.6374	5.6378	6.322	5.9661	6.3287	7.0191	6.3295	6.3299	7.0141	6.3269	6.3212	6.6616	6.6559	5.9725	6.6569	6.3173	7.0138	5.9739	5.9767	6.6584	6.3147	6.3148	6.6824	6.3424	6.6548	5.9687	6.3187	7.0325	5.6491	7.0057	6.364	5.6747	5.9916	5.6524	6.3409	5.6264	6.6849	6.366	4.9868	6.7076	6.7085	6.0194	6.0203	5.681	6.3452	5.6817	6.3683	5.6525	5.679	5.9632	6.3198	5.6303	5.6308	6.3291	5.632	6.6704	5.9735	5.9781	5.9783	6.3284	5.9785	6.3147	5.6249	6.6627	5.9791	5.9793	5.9759	6.32	5.6365	5.623	4.9472	5.6314	4.9481	5.2986	4.6028	4.9708	5.6298	5.624	5.9704	6.3206	5.9984	4.9408	5.6585	5.6588	5.9653	5.9656	5.3165	5.6411	5.6694	5.0167	5.6595	5.6602	5.6447	5.9677	5.662	5.3502	5.9994	5.3036	5.6603	6.0008	4.9713	6.002	6.0025	5.3069
6.3744	6.3709	6.0437	6.718	7.0622	7.0626	6.373	7.0634	6.386	6.7202	7.0683	7.061	7.0575	7.0579	7.7559	8.0963	6.3689	7.0631	7.4174	7.0639	7.0646	7.065	6.7493	6.7258	7.0662	7.4404	7.0808	6.0512	6.7416	7.0784	6.3626	7.4293	7.0536	7.0801	6.7405	6.3648	6.3914	6.3918	7.0786	6.7367	6.731	7.7438	7.4219	7.7686	7.0791	7.0796	7.0763	8.0828	7.427	6.055	7.0776	7.0718	6.3882	6.7324	6.3905	6.7393	6.3938	6.7442	6.0485	6.7312	6.7393	7.0859	7.0863	7.0866	7.437	6.046	7.0841	7.0844	6.7448	6.7451	7.0855	6.7397	6.3962	6.3966	7.0673	6.392	6.7249	6.7293	7.066	6.0543	7.0849	6.7454	6.7321	7.0727	7.0834	6.73	6.7443	7.0847	7.439	6.7494	7.4361	6.7542	7.0947	6.7478	6.7522	7.0851	7.0935	7.4403	7.0871	6.7516	7.4461	6.7565	7.0968	6.7534	6.3999	7.0941	6.7545	6.4048	6.0614	7.4533	6.7637	6.4105	6.7534	6.7616	6.0645	7.1064	6.7627	7.103	6.4131	6.7669	6.7631	6.7634	7.4534	6.7596	6.4135	7.4497	7.4497	6.4136	6.7597	6.4141	6.7648	7.0983	7.0967	6.7598	7.1044	7.0991	6.07	6.7585	7.4517	6.765	6.4336	7.4745	6.7854	6.436	7.1001	7.4527	7.103	6.7872	6.7576	6.7419	6.741	6.7415	6.4036	6.7566	6.3935	6.0681	7.0827	5.3792	6.4069	6.067	6.0633	6.3896	6.7398	6.4077	6.0502	5.7143	7.0947	6.0511	5.3929	5.7296	6.3885	6.4029	6.771	6.7537	5.3764	6.4082	5.3923	5.7149	5.7616	5.7115	5.7293	6.062	5.7137	6.4202	6.4523	6.0673	5.3756	6.7896	6.4623	6.4203	6.0587	5.3917	6.406	5.3926	6.4007	5.7336	6.0678	6.3985	6.0652	5.7157	5.0525	6.7507	4.7318
8.4029	7.0371	7.3737	6.6841	8.0607	7.375	7.7292	7.3895	7.7299	7.0502	7.0367	7.0509	7.7136	7.0479	7.7282	7.3886	7.3889	7.727	7.3897	7.054	7.3905	7.0548	7.0477	7.3858	7.3861	7.0603	7.3931	8.0834	6.36	7.742	7.3947	8.0892	7.3859	6.6963	7.7406	7.741	7.4014	7.4018	7.4022	7.0764	7.7256	6.7099	7.3866	7.7547	7.7552	7.0757	7.0762	7.4165	7.7568	7.0735	7.4	7.7541	8.0906	7.0487	7.0752	7.7556	7.7437	7.0763	6.7144	7.4136	7.7278	7.4021	7.3963	7.4028	7.3893	7.7297	7.4039	7.4006	7.3871	7.0613	7.4017	7.0559	7.0624	6.7203	8.1432	7.1015	6.752	7.0991	7.7658	7.4264	6.7646	7.4536	6.738	7.1162	7.4429	7.4434	6.424	7.1144	8.471	7.1153	6.4396	7.7824	7.7968	7.4435	6.4573	7.1588	6.7655	7.4423	7.1168	7.7975	7.472	7.4589	7.1192	7.7996	7.1199	7.1302	7.4706	7.8148	7.1314	7.1318	7.4722	7.1365	7.1371	7.4738	7.4746	7.459	7.5028	6.7694	7.8289	7.8156	7.4595	7.1195	7.1195	7.796	7.456	7.1161	7.1323	6.4423	7.1162	6.8113	7.1169	7.8053	6.7683	6.7656	7.4641	6.7749	6.762	6.429	7.4537	7.4684	6.7716	7.1302	6.7773	7.7819	7.4423	7.4426	6.779	7.4694	6.7398	7.4341	7.4385	7.0952	7.0921	5.7127	6.4073	6.7479	6.7446	6.7414	6.7455	7.7794	6.7495	7.7797	6.7499	6.0601	7.4366	6.403	6.411	6.7651	6.0577	6.0757	6.0623	6.7453	6.4235	7.1001	6.7504	6.7646	6.4248	5.7174	6.7652	7.4554	6.4509	6.45	7.142	6.4229	5.7896	6.1039	6.4419	7.115	6.0934	6.4441	6.4209	7.4477	6.442	5.7524	5.7529	6.0757	7.11	6.0943	6.421	6.0954	6.0923	6.4429	7.1333
