La	Lo	Sig	Theta	Ice
64.342000	131.440000	-7.167900	-18.182000	1
64.359000	131.530000	-5.453200	-18.183000	1
64.375000	131.620000	-4.083800	-18.182000	1
64.392000	131.720000	-4.442400	-18.182000	1
64.408000	131.810000	-5.815500	-18.182000	1
64.425000	131.910000	-4.781400	-18.182000	1
64.441000	132.000000	-3.400800	-18.182000	1
64.457000	132.100000	-6.148200	-18.182000	1
64.473000	132.190000	-6.490800	-18.182000	1
64.489000	132.290000	-8.215800	-18.183000	1
66.205000	149.890000	-5.738300	-18.184000	1
66.208000	149.990000	-6.436000	-18.184000	1
66.212000	150.100000	-5.062700	-18.184000	1
66.215000	150.210000	-5.405300	-18.184000	1
66.218000	150.320000	-6.443100	-18.184000	1
66.222000	150.430000	-5.405100	-18.184000	1
66.225000	150.540000	-6.427900	-18.184000	1
66.228000	150.650000	-5.051000	-18.184000	1
66.231000	150.750000	-5.737500	-18.184000	1
66.234000	150.860000	-5.400800	-18.184000	1
66.236000	150.970000	-5.404300	-18.185000	1
66.239000	151.080000	-4.363800	-18.185000	1
66.242000	151.190000	-5.046700	-18.185000	1
66.244000	151.300000	-5.407900	-18.185000	1
66.247000	151.410000	-4.356300	-18.185000	1
66.249000	151.520000	-5.400500	-18.184000	1
66.252000	151.620000	-4.027300	-18.185000	1
66.254000	151.730000	-5.054000	-18.185000	1
66.256000	151.840000	-5.054200	-18.184000	1
66.258000	151.950000	-6.080600	-18.185000	1
66.260000	152.060000	-6.084400	-18.184000	1
66.262000	152.170000	-6.084400	-18.184000	1
66.264000	152.280000	-5.740400	-18.185000	1
66.266000	152.390000	-6.102900	-18.184000	1
66.267000	152.500000	-3.007900	-18.185000	1
66.269000	152.610000	-5.411300	-18.184000	1
66.270000	152.710000	-4.370700	-18.184000	1
65.681000	168.000000	-5.767100	-18.184000	1
65.671000	168.110000	-6.779300	-18.184000	1
65.661000	168.210000	-7.123200	-18.184000	1
65.652000	168.320000	-8.175500	-18.184000	1
65.642000	168.420000	-8.186600	-18.184000	1
65.632000	168.520000	-10.571000	-18.184000	1
65.622000	168.630000	-9.557700	-18.184000	1
65.611000	168.730000	-7.474000	-18.184000	1
65.601000	168.830000	-9.206600	-18.184000	1
65.591000	168.940000	-8.171900	-18.184000	1
65.581000	169.040000	-9.191800	-18.184000	1
66.164000	150.220000	-5.337300	-17.426000	1
66.168000	150.330000	-5.676100	-17.426000	1
66.171000	150.440000	-5.679500	-17.426000	1
66.174000	150.550000	-5.329200	-17.427000	1
66.177000	150.660000	-6.356100	-17.427000	1
66.180000	150.770000	-6.367200	-17.427000	1
66.183000	150.880000	-5.679200	-17.427000	1
66.186000	150.980000	-5.336600	-17.427000	1
66.188000	151.090000	-5.332700	-17.427000	1
66.191000	151.200000	-5.679200	-17.427000	1
66.194000	151.310000	-4.992500	-17.427000	1
66.196000	151.420000	-5.328800	-17.427000	1
66.198000	151.530000	-4.634900	-17.427000	1
66.201000	151.640000	-4.298500	-17.427000	1
66.203000	151.740000	-4.642400	-17.427000	1
66.205000	151.850000	-6.705900	-17.427000	1
66.207000	151.960000	-7.743800	-17.427000	1
66.209000	152.070000	-7.049800	-17.427000	1
66.211000	152.180000	-5.336400	-17.427000	1
66.213000	152.290000	-3.608200	-17.427000	1
66.215000	152.400000	-4.305900	-17.427000	1
66.216000	152.510000	-2.928000	-17.427000	1
66.218000	152.610000	-4.638300	-17.427000	1
66.220000	152.720000	-4.992000	-17.427000	1
66.221000	152.830000	-5.682200	-17.427000	1
66.222000	152.940000	-7.056600	-17.427000	1
66.111000	150.130000	-5.648200	-16.663000	1
66.114000	150.240000	-5.647800	-16.663000	1
66.117000	150.350000	-5.303900	-16.664000	1
66.120000	150.450000	-6.001400	-16.664000	1
66.124000	150.560000	-5.300000	-16.664000	1
66.127000	150.670000	-5.299900	-16.664000	1
66.129000	150.780000	-4.616900	-16.664000	1
66.132000	150.890000	-4.276900	-16.664000	1
66.135000	151.000000	-3.926700	-16.664000	1
66.138000	151.100000	-5.296100	-16.664000	1
66.140000	151.210000	-4.953300	-16.664000	1
66.143000	151.320000	-5.989900	-16.664000	1
66.146000	151.430000	-5.990100	-16.664000	1
66.148000	151.540000	-6.001100	-16.664000	1
