La	Lo	Sig	Theta	Ice
48.311000	131.940000	-7.226000	-18.175000	1
48.276000	131.980000	-6.549900	-18.175000	1
48.242000	132.020000	-6.897700	-18.175000	1
48.208000	132.060000	-5.863900	-18.175000	1
48.174000	132.110000	-4.826700	-18.175000	1
48.139000	132.150000	-5.861200	-18.175000	1
48.105000	132.190000	-7.586600	-18.175000	1
48.071000	132.230000	-5.869800	-18.175000	1
48.036000	132.270000	-6.564200	-18.175000	1
48.002000	132.310000	-5.523100	-18.175000	1
47.968000	132.350000	-5.860000	-18.175000	1
47.933000	132.390000	-5.524000	-18.175000	1
47.899000	132.440000	-5.853500	-18.175000	1
47.865000	132.480000	-6.197900	-18.175000	1
47.830000	132.520000	-6.559700	-18.175000	1
47.796000	132.560000	-7.587100	-18.175000	1
47.761000	132.600000	-7.240900	-18.175000	1
47.727000	132.640000	-3.809900	-18.175000	1
47.692000	132.680000	-4.490600	-18.175000	1
47.658000	132.720000	-6.558100	-18.175000	1
47.623000	132.760000	-5.520500	-18.175000	1
47.589000	132.800000	-5.521000	-18.175000	1
47.554000	132.840000	-5.175000	-18.175000	1
47.519000	132.880000	-4.824000	-18.175000	1
47.485000	132.920000	-4.485300	-18.175000	1
47.450000	132.960000	-4.828000	-18.175000	1
47.416000	133.000000	-4.839600	-18.175000	1
47.381000	133.040000	-5.187600	-18.175000	1
47.346000	133.080000	-3.813500	-18.175000	1
47.312000	133.120000	-3.123400	-18.175000	1
47.277000	133.160000	-1.403400	-18.175000	1
47.242000	133.200000	-3.467800	-18.175000	1
47.208000	133.240000	-6.558000	-18.175000	1
47.173000	133.280000	-5.189000	-18.174000	1
47.138000	133.320000	-3.461200	-18.174000	1
47.103000	133.360000	-4.853100	-18.175000	1
47.068000	133.400000	-4.849900	-18.174000	1
48.378000	131.960000	-5.800600	-17.418000	1
48.344000	132.000000	-5.797300	-17.418000	1
48.310000	132.040000	-5.801600	-17.418000	1
48.275000	132.080000	-5.798200	-17.418000	1
48.241000	132.120000	-5.445000	-17.418000	1
48.207000	132.160000	-5.803100	-17.417000	1
48.172000	132.200000	-6.139700	-17.418000	1
48.138000	132.250000	-5.117400	-17.418000	1
48.104000	132.290000	-5.800800	-17.418000	1
48.069000	132.330000	-7.175900	-17.418000	1
48.035000	132.370000	-5.794200	-17.418000	1
