La	Lo	Sig	Theta	Ice
48.989000	133.960000	1.967200	-1.540400	1
48.954000	134.000000	1.967000	-1.540600	1
48.919000	134.040000	1.616700	-1.540700	1
48.884000	134.080000	3.683100	-1.540300	1
48.850000	134.120000	2.305800	-1.540500	1
48.815000	134.160000	1.962400	-1.540400	1
48.780000	134.200000	4.022200	-1.540500	1
48.745000	134.240000	5.741700	-1.540400	1
48.710000	134.280000	6.771400	-1.540400	1
48.675000	134.320000	7.111200	-1.540600	1
48.640000	134.360000	7.464000	-1.540300	1
48.605000	134.410000	7.113700	-1.540300	1
48.570000	134.450000	2.993300	-1.540400	1
48.535000	134.490000	-1.817200	-1.540300	1
48.500000	134.530000	-2.847300	-1.540600	1
48.465000	134.570000	2.302400	-1.540400	1
48.430000	134.610000	7.799200	-1.540400	1
48.395000	134.650000	8.492000	-1.540700	1
48.359000	134.690000	7.108700	-1.540600	1
48.977000	133.530000	-7.800200	2.236100	1
48.942000	133.570000	-2.296800	2.236300	1
48.908000	133.610000	-3.680500	2.236100	1
48.873000	133.650000	0.792470	2.236200	1
48.838000	133.690000	3.879100	2.236300	1
48.804000	133.730000	7.318600	2.236100	1
48.769000	133.770000	6.628300	2.236200	1
48.734000	133.820000	5.258100	2.236300	1
48.699000	133.860000	5.257700	2.236200	1
48.664000	133.900000	6.627500	2.236400	1
48.630000	133.940000	6.980400	2.236200	1
48.595000	133.980000	1.130100	2.236400	1
48.560000	134.020000	4.569800	2.236400	1
48.525000	134.060000	2.159200	2.236100	1
48.490000	134.100000	2.849100	2.236400	1
48.455000	134.140000	0.445480	2.236200	1
48.420000	134.180000	5.595300	2.236200	1
48.921000	133.330000	-3.614800	4.500300	1
48.886000	133.370000	-1.895100	4.500100	1
48.851000	133.410000	0.164790	4.500300	1
48.817000	133.450000	-0.865730	4.500100	1
48.782000	133.490000	-3.266100	4.500200	1
48.748000	133.530000	-1.896300	4.500300	1
48.713000	133.580000	-3.617100	4.500100	1
48.678000	133.620000	4.292900	4.500200	1
48.643000	133.660000	4.296100	4.500200	1
48.609000	133.700000	1.882200	4.500200	1
48.574000	133.740000	-1.558100	4.500400	1
48.539000	133.780000	1.191500	4.500100	1
48.504000	133.820000	0.161300	4.500400	1
48.470000	133.860000	1.541000	4.500400	1
48.435000	133.900000	1.880500	4.500000	1
48.400000	133.940000	1.194100	4.500400	1
48.365000	133.980000	-0.180050	4.500100	1
48.330000	134.020000	7.719800	4.500200	1
48.296000	134.060000	0.849580	4.500400	1
48.261000	134.100000	0.512360	4.499900	1
48.226000	134.150000	-2.931500	4.500200	1
48.925000	133.230000	-2.074500	5.254800	1
48.890000	133.270000	-1.724700	5.254900	1
48.856000	133.320000	-1.725200	5.254700	1
48.821000	133.360000	-1.385300	5.254900	1
48.786000	133.400000	1.364300	5.254600	1
48.752000	133.440000	-1.046000	5.254800	1
48.717000	133.480000	-1.042900	5.254900	1
48.683000	133.520000	2.396700	5.254700	1
48.648000	133.560000	0.336370	5.254800	1
48.613000	133.600000	1.026000	5.254700	1
48.578000	133.650000	-1.048000	5.254800	1
48.544000	133.690000	-3.108300	5.255000	1
48.509000	133.730000	0.671310	5.254700	1
48.474000	133.770000	-0.005123	5.255000	1
48.440000	133.810000	1.021000	5.254900	1
48.405000	133.850000	-0.005934	5.254600	1
48.370000	133.890000	-0.695950	5.255000	1
48.335000	133.930000	-1.730100	5.254700	1
48.300000	133.970000	7.549700	5.254700	1
48.265000	134.010000	6.173000	5.255000	1
48.231000	134.050000	0.672320	5.254500	1
48.196000	134.090000	-2.417900	5.254800	1
48.791000	133.300000	-3.956300	6.008600	1
48.756000	133.350000	-2.923000	6.008300	1
48.721000	133.390000	-2.583200	6.008400	1
48.687000	133.430000	-2.230100	6.008500	1
48.652000	133.470000	-1.204200	6.008300	1
48.618000	133.510000	-1.204400	6.008500	1
48.583000	133.550000	-1.201200	6.008300	1
48.548000	133.590000	-0.865120	6.008500	1
48.514000	133.630000	-0.175280	6.008700	1
48.479000	133.670000	1.548000	6.008400	1
48.444000	133.710000	4.974300	6.008700	1
48.409000	133.760000	1.547600	6.008600	1
48.375000	133.800000	0.163410	6.008200	1
48.340000	133.840000	1.887100	6.008700	1
48.305000	133.880000	3.603000	6.008300	1
48.270000	133.920000	7.726100	6.008400	1
48.235000	133.960000	0.508480	6.008600	1
48.201000	134.000000	-2.238600	6.008100	1
48.166000	134.040000	-6.709200	6.008400	1
48.691000	133.330000	-3.919100	6.760200	1
48.656000	133.370000	-3.915700	6.760200	1
48.622000	133.420000	-2.196000	6.760000	1
48.587000	133.460000	1.587600	6.760200	1
48.553000	133.500000	-1.499200	6.760000	1
48.518000	133.540000	1.583200	6.760200	1
48.483000	133.580000	2.613100	6.760400	1
48.449000	133.620000	-0.481170	6.760000	1
48.414000	133.660000	2.616300	6.760400	1
48.379000	133.700000	2.272300	6.760300	1
48.344000	133.740000	-0.474530	6.759900	1
48.310000	133.780000	3.301800	6.760400	1
48.275000	133.820000	2.965000	6.760000	1
48.240000	133.870000	6.394500	6.760000	1
48.205000	133.910000	1.591700	6.760300	1
48.171000	133.950000	-6.667000	6.759800	1
48.136000	133.990000	-7.010900	6.760100	1
48.764000	133.160000	-4.781500	7.519400	1
48.729000	133.200000	-3.407800	7.519600	1
48.695000	133.240000	-3.058200	7.519300	1
48.660000	133.280000	-4.084800	7.519500	1
48.626000	133.320000	-0.999010	7.519500	1
48.591000	133.360000	0.720650	7.519300	1
48.557000	133.400000	-0.667200	7.519500	1
48.522000	133.440000	0.362400	7.519300	1
48.487000	133.490000	-3.750600	7.519500	1
48.453000	133.530000	-2.724300	7.519700	1
48.418000	133.570000	0.369170	7.519300	1
48.383000	133.610000	0.029109	7.519700	1
48.349000	133.650000	2.085100	7.519600	1
48.314000	133.690000	-2.035500	7.519200	1
48.279000	133.730000	-2.035600	7.519700	1
48.244000	133.770000	4.150400	7.519300	1
48.210000	133.810000	4.501100	7.519300	1
48.175000	133.850000	5.187200	7.519600	1
48.140000	133.890000	-5.124000	7.519100	1
48.105000	133.930000	-6.508100	7.519400	1
48.802000	133.020000	-6.128000	8.272700	1
48.768000	133.060000	-0.627760	8.272600	1
48.733000	133.100000	-4.068400	8.272600	1
48.699000	133.140000	-4.401100	8.272700	1
48.664000	133.190000	-3.039000	8.272400	1
48.630000	133.230000	-1.655300	8.272600	1
48.595000	133.270000	-2.346000	8.272600	1
48.561000	133.310000	-0.286360	8.272400	1
48.526000	133.350000	-1.996700	8.272600	1
48.491000	133.390000	-5.448900	8.272400	1
48.457000	133.430000	-3.048700	8.272600	1
48.422000	133.470000	-3.037500	8.272800	1
48.388000	133.510000	-0.631480	8.272400	1
48.353000	133.560000	-0.295320	8.272800	1
48.318000	133.600000	-1.665700	8.272700	1
48.284000	133.640000	-3.722600	8.272300	1
48.249000	133.680000	-4.760400	8.272800	1
48.214000	133.720000	6.927300	8.272400	1
48.179000	133.760000	3.143200	8.272400	1
48.145000	133.800000	-4.414000	8.272700	1
48.110000	133.840000	-8.531700	8.272200	1
