La	Lo	Sig	Theta	Ice
66.280000	149.560000	-6.791500	-18.181000	1
66.279000	149.670000	-6.108800	-18.180000	1
66.278000	149.780000	-6.105200	-18.181000	1
66.277000	149.890000	-5.765000	-18.181000	1
66.276000	150.000000	-6.444400	-18.181000	1
66.275000	150.110000	-5.425200	-18.181000	1
66.274000	150.220000	-6.459300	-18.181000	1
66.272000	150.330000	-5.769000	-18.181000	1
66.271000	150.440000	-4.734900	-18.181000	1
66.269000	150.540000	-5.769300	-18.181000	1
66.268000	150.650000	-5.426900	-18.181000	1
66.266000	150.760000	-5.756100	-18.181000	1
66.264000	150.870000	-4.736600	-18.181000	1
66.263000	150.980000	-5.426900	-18.181000	1
66.261000	151.090000	-4.725400	-18.182000	1
66.259000	151.200000	-5.076500	-18.182000	1
66.257000	151.310000	-5.422700	-18.182000	1
66.255000	151.420000	-5.422800	-18.182000	1
66.253000	151.520000	-5.079900	-18.182000	1
66.250000	151.630000	-5.429800	-18.182000	1
66.248000	151.740000	-5.068400	-18.183000	1
66.245000	151.850000	-5.758400	-18.183000	1
66.243000	151.960000	-6.106000	-18.183000	1
66.240000	152.070000	-5.758400	-18.183000	1
66.238000	152.180000	-5.765500	-18.183000	1
66.235000	152.290000	-5.086500	-18.183000	1
66.232000	152.400000	-4.059700	-18.184000	1
66.229000	152.500000	-2.681900	-18.183000	1
66.226000	152.610000	-4.052300	-18.183000	1
66.223000	152.720000	-4.388500	-18.184000	1
66.220000	152.830000	-6.112900	-18.184000	1
66.217000	152.940000	-6.102000	-18.184000	1
64.893000	168.360000	-10.554000	-18.184000	1
64.878000	168.460000	-9.881300	-18.184000	1
64.864000	168.560000	-10.568000	-18.183000	1
64.849000	168.660000	-8.461400	-18.184000	1
64.835000	168.750000	-7.425100	-18.184000	1
64.820000	168.850000	-8.467300	-18.183000	1
64.806000	168.950000	-9.526500	-18.184000	1
64.791000	169.040000	-8.468400	-18.183000	1
64.776000	169.140000	-8.846200	-18.183000	1
64.761000	169.240000	-5.712100	-18.183000	1
64.746000	169.340000	-8.107100	-18.183000	1
64.731000	169.430000	-12.592000	-18.183000	1
64.716000	169.530000	-11.558000	-18.183000	1
66.227000	149.780000	-5.709500	-17.423000	1
66.226000	149.890000	-6.046000	-17.423000	1
66.225000	150.000000	-5.702100	-17.423000	1
66.224000	150.110000	-6.046000	-17.423000	1
66.223000	150.220000	-5.348200	-17.423000	1
66.221000	150.330000	-6.042400	-17.423000	1
66.220000	150.440000	-6.743700	-17.423000	1
66.219000	150.540000	-6.045900	-17.423000	1
66.217000	150.650000	-5.705800	-17.424000	1
66.215000	150.760000	-5.011700	-17.423000	1
66.214000	150.870000	-4.665200	-17.423000	1
66.212000	150.980000	-4.657800	-17.424000	1
66.210000	151.090000	-5.705600	-17.424000	1
66.208000	151.200000	-5.347800	-17.424000	1
66.206000	151.310000	-6.385500	-17.424000	1
66.204000	151.410000	-5.018500	-17.424000	1
