La	Lo	Sig	Theta	Ice
64.551000	168.250000	-9.539700	-18.183000	1
64.535000	168.350000	-9.888200	-18.183000	1
64.519000	168.440000	-9.218500	-18.183000	1
64.503000	168.540000	-3.711500	-18.183000	1
64.487000	168.630000	-7.837500	-18.183000	1
64.471000	168.730000	-8.857300	-18.183000	1
64.455000	168.820000	-10.250000	-18.184000	1
64.439000	168.920000	-9.881000	-18.184000	1
64.423000	169.010000	-9.877700	-18.184000	1
64.406000	169.110000	-10.576000	-18.184000	1
64.390000	169.200000	-11.275000	-18.184000	1
64.373000	169.300000	-10.243000	-18.184000	1
64.357000	169.390000	-7.816100	-18.184000	1
64.340000	169.480000	-9.212500	-18.184000	1
64.323000	169.580000	-9.204900	-18.184000	1
64.307000	169.670000	-7.487300	-18.184000	1
66.191000	149.730000	-6.017100	-17.426000	1
66.188000	149.840000	-6.017300	-17.426000	1
66.185000	149.950000	-6.017400	-17.426000	1
66.182000	150.060000	-5.677200	-17.426000	1
66.180000	150.170000	-6.353700	-17.426000	1
66.177000	150.270000	-5.677100	-17.427000	1
66.174000	150.380000	-6.361200	-17.426000	1
66.170000	150.490000	-5.673100	-17.427000	1
66.167000	150.600000	-5.680900	-17.426000	1
66.164000	150.710000	-6.024800	-17.426000	1
66.161000	150.820000	-6.354000	-17.426000	1
66.157000	150.920000	-6.010200	-17.426000	1
66.154000	151.030000	-6.711700	-17.426000	1
66.150000	151.140000	-5.673900	-17.426000	1
66.146000	151.250000	-6.025400	-17.426000	1
66.142000	151.360000	-6.014600	-17.426000	1
66.139000	151.470000	-6.350900	-17.427000	1
66.135000	151.570000	-4.980900	-17.426000	1
66.131000	151.680000	-3.969000	-17.426000	1
66.127000	151.790000	-4.294500	-17.426000	1
66.122000	151.900000	-5.325100	-17.426000	1
66.118000	152.010000	-6.374300	-17.426000	1
66.114000	152.110000	-6.363400	-17.426000	1
66.109000	152.220000	-7.046400	-17.426000	1
66.105000	152.330000	-6.706600	-17.426000	1
64.503000	168.220000	-9.150200	-17.426000	1
64.487000	168.310000	-7.413900	-17.426000	1
64.471000	168.410000	-8.465800	-17.426000	1
64.455000	168.500000	-7.092700	-17.426000	1
64.439000	168.600000	-9.132400	-17.425000	1
64.423000	168.690000	-9.493700	-17.426000	1
64.407000	168.790000	-10.171000	-17.426000	1
64.391000	168.880000	-10.847000	-17.426000	1
64.374000	168.970000	-11.199000	-17.426000	1
64.358000	169.070000	-11.188000	-17.426000	1
64.342000	169.160000	-10.511000	-17.426000	1
64.325000	169.260000	-9.475800	-17.426000	1
64.309000	169.350000	-10.848000	-17.426000	1
64.292000	169.440000	-9.827600	-17.426000	1
64.275000	169.540000	-10.172000	-17.426000	1
64.259000	169.630000	-10.855000	-17.426000	1
66.129000	150.160000	-5.645100	-16.663000	1
66.126000	150.270000	-4.939800	-16.664000	1
66.123000	150.380000	-5.991400	-16.663000	1
66.120000	150.490000	-7.021800	-16.664000	1
66.116000	150.590000	-6.668200	-16.664000	1
66.113000	150.700000	-3.909800	-16.663000	1
66.110000	150.810000	-4.951200	-16.663000	1
66.106000	150.920000	-5.984300	-16.664000	1
66.103000	151.030000	-4.944200	-16.663000	1
66.099000	151.130000	-5.995700	-16.664000	1
66.095000	151.240000	-6.332300	-16.663000	1
66.092000	151.350000	-6.676500	-16.663000	1
66.088000	151.460000	-5.992500	-16.664000	1
66.084000	151.570000	-6.000300	-16.663000	1
66.080000	151.670000	-3.238200	-16.664000	1
66.076000	151.780000	-5.989200	-16.663000	1
66.072000	151.890000	-4.967800	-16.664000	1
66.067000	152.000000	-6.666400	-16.663000	1
66.063000	152.110000	-5.299700	-16.664000	1
66.059000	152.210000	-5.651200	-16.663000	1
66.054000	152.320000	-7.387000	-16.664000	1
64.470000	168.080000	-9.113100	-16.663000	1
64.455000	168.180000	-6.365100	-16.663000	1
64.439000	168.270000	-9.818900	-16.663000	1
64.423000	168.370000	-7.384800	-16.663000	1
64.407000	168.460000	-9.804600	-16.663000	1
64.391000	168.560000	-8.773500	-16.663000	1
64.375000	168.650000	-8.412500	-16.663000	1
64.359000	168.750000	-9.446900	-16.663000	1
64.343000	168.840000	-10.138000	-16.663000	1
64.326000	168.940000	-10.482000	-16.663000	1
64.310000	169.030000	-10.829000	-16.663000	1
64.294000	169.120000	-8.076400	-16.663000	1
64.277000	169.220000	-10.146000	-16.663000	1
64.261000	169.310000	-9.801700	-16.663000	1
64.244000	169.410000	-10.837000	-16.663000	1
64.228000	169.500000	-10.139000	-16.664000	1
64.211000	169.590000	-11.178000	-16.663000	1
66.069000	150.480000	-6.556300	-15.906000	1
66.066000	150.590000	-5.514800	-15.905000	1
66.063000	150.700000	-5.164800	-15.905000	1
66.060000	150.810000	-5.855200	-15.905000	1
66.056000	150.910000	-5.518800	-15.905000	1
66.053000	151.020000	-6.220500	-15.905000	1
66.049000	151.130000	-5.522800	-15.906000	1
66.045000	151.240000	-6.209500	-15.905000	1
66.042000	151.340000	-6.209900	-15.905000	1
66.038000	151.450000	-6.206000	-15.906000	1
66.034000	151.560000	-4.825900	-15.905000	1
66.030000	151.670000	-5.173400	-15.906000	1
66.026000	151.780000	-3.803400	-15.905000	1
66.022000	151.880000	-3.810900	-15.905000	1
66.017000	151.990000	-5.860900	-15.905000	1
66.013000	152.100000	-2.762500	-15.906000	1
66.009000	152.210000	-5.864800	-15.905000	1
66.004000	152.310000	-5.178300	-15.906000	1
66.000000	152.420000	-5.524900	-15.905000	1
65.995000	152.530000	-4.834800	-15.905000	1
65.990000	152.630000	-7.597400	-15.905000	1
65.986000	152.740000	-6.896100	-15.905000	1
65.981000	152.850000	-6.571000	-15.905000	1
64.360000	168.430000	-4.522600	-15.905000	1
64.344000	168.520000	-8.644800	-15.905000	1
64.328000	168.620000	-7.266700	-15.905000	1
64.311000	168.710000	-8.648800	-15.905000	1
64.295000	168.800000	-8.992000	-15.905000	1
64.279000	168.900000	-9.664900	-15.905000	1
64.263000	168.990000	-11.391000	-15.905000	1
64.246000	169.090000	-10.341000	-15.905000	1
64.230000	169.180000	-10.023000	-15.905000	1
64.214000	169.270000	-10.701000	-15.905000	1
64.197000	169.370000	-10.356000	-15.905000	1
64.180000	169.460000	-10.685000	-15.905000	1
64.164000	169.550000	-10.349000	-15.905000	1
66.023000	150.370000	-5.781200	-15.149000	1
66.020000	150.480000	-5.423300	-15.150000	1
66.017000	150.590000	-5.090800	-15.149000	1
66.013000	150.690000	-5.090800	-15.149000	1
66.010000	150.800000	-5.083400	-15.149000	1
66.007000	150.910000	-5.427300	-15.149000	1
66.003000	151.020000	-5.777600	-15.149000	1
65.999000	151.120000	-4.397200	-15.149000	1
65.996000	151.230000	-5.774100	-15.149000	1
65.992000	151.340000	-5.095400	-15.149000	1
65.988000	151.450000	-4.751500	-15.149000	1
65.984000	151.550000	-5.424500	-15.149000	1
65.980000	151.660000	-5.771100	-15.149000	1
65.976000	151.770000	-3.718100	-15.149000	1
65.972000	151.880000	-5.103700	-15.149000	1
65.968000	151.980000	-3.737200	-15.149000	1
65.963000	152.090000	-6.477000	-15.149000	1
65.959000	152.200000	-6.798600	-15.149000	1
65.955000	152.300000	-6.465800	-15.149000	1
65.950000	152.410000	-5.433200	-15.149000	1
65.945000	152.520000	-3.043900	-15.149000	1
65.941000	152.630000	-4.760700	-15.149000	1
65.936000	152.730000	-7.844800	-15.149000	1
65.931000	152.840000	-6.127900	-15.149000	1
65.926000	152.950000	-7.162300	-15.149000	1
65.921000	153.050000	-6.482200	-15.149000	1
64.281000	168.580000	-7.533000	-15.149000	1
64.264000	168.670000	-4.774300	-15.149000	1
64.248000	168.770000	-7.540500	-15.149000	1
64.232000	168.860000	-9.934700	-15.149000	1
64.216000	168.950000	-10.955000	-15.149000	1
64.200000	169.050000	-10.959000	-15.149000	1
64.183000	169.140000	-9.931500	-15.149000	1
64.167000	169.240000	-10.611000	-15.149000	1
64.150000	169.330000	-8.901100	-15.149000	1
64.134000	169.420000	-10.275000	-15.149000	1
64.117000	169.520000	-10.616000	-15.149000	1
65.971000	150.470000	-6.769000	-14.395000	1
65.967000	150.580000	-5.732600	-14.395000	1
65.964000	150.690000	-5.392500	-14.395000	1
65.961000	150.800000	-4.698500	-14.395000	1
65.957000	150.900000	-5.044900	-14.395000	1
65.954000	151.010000	-4.698700	-14.395000	1
65.950000	151.120000	-5.048800	-14.395000	1
65.947000	151.220000	-5.389200	-14.395000	1
65.943000	151.330000	-5.385500	-14.395000	1
65.939000	151.440000	-6.427200	-14.395000	1
65.935000	151.550000	-4.699500	-14.395000	1
65.931000	151.650000	-4.366900	-14.395000	1
65.927000	151.760000	-5.386100	-14.395000	1
65.923000	151.870000	-6.774300	-14.395000	1
65.919000	151.980000	-5.057700	-14.395000	1
64.282000	168.260000	-5.767500	-14.394000	1
64.266000	168.350000	-10.225000	-14.395000	1
64.250000	168.450000	-9.877600	-14.394000	1
64.234000	168.540000	-10.920000	-14.395000	1
64.218000	168.640000	-9.896600	-14.395000	1
