La	Lo	Sig	Theta	Ice
64.227000	132.030000	-6.818000	-14.394000	1
64.421000	132.040000	-6.932100	-11.363000	1
60.761000	163.890000	6.492400	0.732650	1
60.737000	163.970000	5.802600	0.732900	1
60.714000	164.040000	5.802900	0.732690	1
60.691000	164.120000	8.550700	0.732670	1
60.668000	164.200000	11.991000	0.732940	1
60.645000	164.270000	7.861900	0.732760	1
60.621000	164.350000	7.862600	0.732860	1
60.598000	164.420000	4.433200	0.732810	1
60.574000	164.500000	0.991140	0.732720	1
60.551000	164.580000	14.745000	0.732980	1
65.263000	132.110000	-0.504790	2.236700	1
65.923000	132.190000	-4.613700	12.815000	1
