La	Lo	Sig	Theta	Ice
62.317000	164.650000	-10.199000	-18.184000	1
62.302000	164.740000	-9.852300	-18.184000	1
62.287000	164.830000	-11.238000	-18.184000	1
62.272000	164.920000	-10.192000	-18.185000	1
62.257000	165.000000	-10.540000	-18.184000	1
62.241000	165.090000	-10.540000	-18.185000	1
62.226000	165.180000	-9.508100	-18.184000	1
62.211000	165.270000	-9.504500	-18.184000	1
62.195000	165.360000	-11.238000	-18.185000	1
62.180000	165.440000	-9.860200	-18.184000	1
62.164000	165.530000	-11.587000	-18.184000	1
62.149000	165.620000	-11.572000	-18.185000	1
62.133000	165.710000	-11.582000	-18.184000	1
62.118000	165.800000	-9.508400	-18.184000	1
62.102000	165.880000	-8.488600	-18.184000	1
62.086000	165.970000	-9.537700	-18.184000	1
62.070000	166.060000	-9.863900	-18.184000	1
62.054000	166.140000	-9.508600	-18.184000	1
62.038000	166.230000	-9.190300	-18.184000	1
62.022000	166.320000	-11.220000	-18.184000	1
62.006000	166.410000	-11.239000	-18.184000	1
61.990000	166.490000	-10.884000	-18.184000	1
61.974000	166.580000	-9.508300	-18.184000	1
61.957000	166.670000	-9.856500	-18.184000	1
61.941000	166.750000	-10.888000	-18.184000	1
61.925000	166.840000	-9.852500	-18.184000	1
61.908000	166.920000	-8.484900	-18.184000	1
61.892000	167.010000	-8.492200	-18.184000	1
61.875000	167.100000	-10.884000	-18.184000	1
61.859000	167.180000	-10.199000	-18.184000	1
61.842000	167.270000	-10.892000	-18.184000	1
61.825000	167.350000	-10.539000	-18.184000	1
61.808000	167.440000	-8.821100	-18.184000	1
61.791000	167.530000	-9.522800	-18.184000	1
61.775000	167.610000	-9.171200	-18.184000	1
61.758000	167.700000	-10.213000	-18.184000	1
61.741000	167.780000	-10.217000	-18.184000	1
61.723000	167.870000	-9.866500	-18.184000	1
61.706000	167.950000	-9.874600	-18.184000	1
63.907000	149.710000	-6.025500	-17.428000	1
63.903000	149.810000	-7.407300	-17.427000	1
63.899000	149.910000	-8.086800	-17.427000	1
63.894000	150.000000	-8.463100	-17.428000	1
63.890000	150.100000	-7.407400	-17.427000	1
63.885000	150.200000	-7.735100	-17.428000	1
63.880000	150.300000	-8.082900	-17.427000	1
63.876000	150.400000	-8.090500	-17.427000	1
63.871000	150.500000	-7.411200	-17.427000	1
63.866000	150.600000	-7.407200	-17.427000	1
63.861000	150.700000	-7.388300	-17.427000	1
63.856000	150.800000	-7.749800	-17.428000	1
63.851000	150.890000	-6.017600	-17.427000	1
63.846000	150.990000	-7.387700	-17.428000	1
63.841000	151.090000	-7.741600	-17.428000	1
63.835000	151.190000	-4.654900	-17.428000	1
63.830000	151.290000	-5.680500	-17.428000	1
63.824000	151.390000	-7.402500	-17.427000	1
63.819000	151.490000	-5.352300	-17.427000	1
63.813000	151.580000	-7.409400	-17.427000	1
63.808000	151.680000	-6.721800	-17.427000	1
63.802000	151.780000	-7.050700	-17.427000	1
63.796000	151.880000	-6.710700	-17.427000	1
63.790000	151.980000	-7.058300	-17.427000	1
63.784000	152.080000	-5.680100	-17.427000	1
63.778000	152.180000	-6.710600	-17.427000	1
63.772000	152.270000	-6.364100	-17.427000	1
63.766000	152.370000	-6.699400	-17.427000	1
63.760000	152.470000	-6.016400	-17.427000	1
63.753000	152.570000	-7.390700	-17.427000	1
63.747000	152.670000	-8.080900	-17.427000	1
63.740000	152.760000	-7.751600	-17.427000	1
63.734000	152.860000	-6.034300	-17.427000	1
63.727000	152.960000	-7.046100	-17.427000	1
63.721000	153.060000	-6.355800	-17.427000	1
62.365000	164.690000	-10.482000	-17.426000	1
62.350000	164.770000	-8.756200	-17.426000	1
62.335000	164.860000	-10.482000	-17.427000	1
62.320000	164.950000	-9.791100	-17.427000	1
62.304000	165.040000	-10.826000	-17.426000	1
62.289000	165.130000	-10.478000	-17.427000	1
62.274000	165.220000	-10.127000	-17.427000	1
62.259000	165.310000	-11.148000	-17.427000	1
62.243000	165.390000	-11.155000	-17.427000	1
62.228000	165.480000	-10.819000	-17.427000	1
62.212000	165.570000	-11.518000	-17.427000	1
62.197000	165.660000	-11.166000	-17.427000	1
62.181000	165.750000	-8.753000	-17.426000	1
62.165000	165.830000	-9.107400	-17.426000	1
62.149000	165.920000	-9.114700	-17.427000	1
62.134000	166.010000	-8.759600	-17.426000	1
62.118000	166.100000	-10.153000	-17.427000	1
62.102000	166.180000	-8.419400	-17.426000	1
62.086000	166.270000	-9.453900	-17.426000	1
62.070000	166.360000	-11.865000	-17.427000	1
62.054000	166.440000	-9.100000	-17.426000	1
62.037000	166.530000	-9.794600	-17.426000	1
62.021000	166.620000	-9.790600	-17.426000	1
62.005000	166.700000	-8.054500	-17.426000	1
61.989000	166.790000	-8.412100	-17.426000	1
61.972000	166.880000	-7.732800	-17.426000	1
61.956000	166.960000	-10.124000	-17.426000	1
61.939000	167.050000	-9.446800	-17.427000	1
61.922000	167.140000	-10.492000	-17.426000	1
61.906000	167.220000	-10.135000	-17.427000	1
61.889000	167.310000	-10.500000	-17.427000	1
61.872000	167.390000	-10.493000	-17.426000	1
61.856000	167.480000	-10.135000	-17.427000	1
61.839000	167.570000	-10.154000	-17.426000	1
61.822000	167.650000	-8.774300	-17.426000	1
61.805000	167.740000	-9.465100	-17.426000	1
61.788000	167.820000	-10.142000	-17.426000	1
61.771000	167.910000	-10.138000	-17.426000	1
61.753000	167.990000	-8.430200	-17.426000	1
62.149000	166.220000	-10.445000	-16.664000	1
62.133000	166.310000	-8.379700	-16.664000	1
62.117000	166.400000	-6.325900	-16.664000	1
62.101000	166.480000	-10.094000	-16.664000	1
62.085000	166.570000	-7.693200	-16.664000	1
62.069000	166.660000	-8.039700	-16.663000	1
62.052000	166.740000	-7.689500	-16.663000	1
62.036000	166.830000	-6.655200	-16.664000	1
62.019000	166.920000	-5.975000	-16.664000	1
62.003000	167.000000	-7.360700	-16.664000	1
61.986000	167.090000	-9.063200	-16.664000	1
61.970000	167.180000	-9.082000	-16.664000	1
61.953000	167.260000	-9.081700	-16.664000	1
61.936000	167.350000	-11.473000	-16.664000	1
61.920000	167.430000	-10.449000	-16.664000	1
