La	Lo	Sig	Theta	Ice
46.487000	143.040000	21.781000	0.117920	1
46.523000	143.070000	19.181000	0.118070	1
46.559000	143.110000	22.382000	0.117740	1
46.595000	143.150000	21.782000	0.118180	1
46.631000	143.180000	14.393000	0.117900	1
46.666000	143.220000	15.083000	0.117870	1
46.702000	143.260000	8.880400	0.118270	1
46.738000	143.300000	15.773000	0.117900	1
46.774000	143.330000	15.414000	0.118080	1
46.810000	143.370000	11.634000	0.118170	1
46.845000	143.410000	16.175000	0.117790	1
46.881000	143.450000	28.975000	0.118190	1
46.917000	143.490000	23.176000	0.117890	1
46.952000	143.520000	17.576000	0.117730	1
46.988000	143.560000	21.777000	0.118010	1
47.024000	143.600000	24.777000	0.117640	1
46.826000	142.730000	0.782370	6.006800	1
46.862000	142.770000	-1.277400	6.006900	1
46.898000	142.800000	-1.650900	6.007000	1
46.934000	142.840000	-4.398400	6.007000	1
46.970000	142.880000	-4.398100	6.006900	1
47.006000	142.920000	-4.050400	6.006800	1
47.042000	142.950000	-5.780200	6.006900	1
47.078000	142.990000	-4.053300	6.006900	1
47.114000	143.030000	6.634900	6.006800	1
47.149000	143.070000	-2.293900	6.006800	1
47.185000	143.110000	0.793540	6.006800	1
47.221000	143.140000	-1.569900	6.006700	1
47.257000	143.180000	-0.189370	6.006900	1
47.293000	143.220000	-0.582730	6.006900	1
47.328000	143.260000	-1.218700	6.006900	1
46.891000	142.710000	0.039453	6.758500	1
46.927000	142.750000	-0.326530	6.758500	1
46.963000	142.790000	-6.160700	6.758500	1
46.999000	142.830000	-8.247200	6.758400	1
47.035000	142.860000	-5.155000	6.758400	1
47.071000	142.900000	-7.215100	6.758400	1
47.107000	142.940000	-7.551000	6.758500	1
47.143000	142.980000	-6.492900	6.758300	1
47.179000	143.010000	1.768200	6.758300	1
47.215000	143.050000	9.309900	6.758300	1
47.250000	143.090000	2.083300	6.758200	1
47.286000	143.130000	-2.030100	6.758500	1
47.322000	143.170000	-2.742400	6.758400	1
47.358000	143.200000	-1.021900	6.758400	1
47.394000	143.240000	-1.361500	6.758500	1
46.993000	142.740000	-0.024577	7.517600	1
47.029000	142.770000	-5.524900	7.517600	1
47.065000	142.810000	-7.282600	7.517500	1
47.101000	142.850000	-7.297300	7.517500	1
47.136000	142.890000	-3.502500	7.517600	1
47.172000	142.920000	-4.504700	7.517500	1
47.208000	142.960000	-3.840500	7.517500	1
47.244000	143.000000	-1.066800	7.517400	1
47.280000	143.040000	8.572600	7.517400	1
47.316000	143.080000	0.659220	7.517600	1
47.352000	143.110000	-2.774400	7.517600	1
47.388000	143.150000	-2.434000	7.517600	1
47.423000	143.190000	-2.083600	7.517700	1
47.293000	142.190000	-4.441100	15.078000	1
47.329000	142.230000	-4.788600	15.078000	1
47.366000	142.270000	-3.746500	15.078000	1
47.402000	142.300000	-4.440900	15.078000	1
47.438000	142.340000	-2.713900	15.078000	1
47.474000	142.380000	-4.790500	15.078000	1
47.510000	142.420000	-5.482600	15.078000	1
47.546000	142.450000	-3.063000	15.078000	1
47.582000	142.490000	-3.751500	15.078000	1
47.618000	142.530000	-5.127800	15.078000	1
47.654000	142.570000	-3.070700	15.078000	1
47.288000	142.100000	-3.525300	15.834000	1
47.324000	142.140000	-3.525000	15.834000	1
47.360000	142.170000	-2.493100	15.834000	1
47.397000	142.210000	-4.563300	15.834000	1
47.433000	142.250000	-4.221800	15.834000	1
47.469000	142.290000	-3.895200	15.834000	1
47.505000	142.320000	-3.867300	15.834000	1
47.541000	142.360000	-4.557200	15.834000	1
47.577000	142.400000	-6.309000	15.834000	1
47.613000	142.440000	-4.565200	15.834000	1
47.649000	142.470000	-5.589800	15.834000	1
