La	Lo	Sig	Theta	Ice
63.915000	149.910000	-3.952900	-18.183000	1
63.912000	150.010000	-3.248700	-18.184000	1
63.909000	150.110000	-5.981500	-18.183000	1
63.905000	150.210000	-5.308200	-18.184000	1
63.902000	150.310000	-4.625300	-18.183000	1
63.899000	150.410000	-3.934800	-18.184000	1
63.895000	150.500000	-3.605700	-18.184000	1
63.892000	150.600000	-4.302200	-18.184000	1
63.888000	150.700000	-6.338400	-18.183000	1
63.884000	150.800000	-5.307900	-18.184000	1
63.880000	150.900000	-6.692000	-18.183000	1
63.877000	151.000000	-5.290200	-18.184000	1
63.873000	151.100000	-4.975700	-18.183000	1
63.869000	151.200000	-3.249900	-18.183000	1
63.865000	151.300000	-4.635100	-18.183000	1
63.861000	151.400000	-3.944800	-18.183000	1
62.230000	166.980000	-2.867700	-18.183000	1
62.215000	167.070000	-1.855100	-18.183000	1
62.199000	167.160000	-3.225500	-18.183000	1
62.184000	167.250000	-1.855600	-18.183000	1
62.168000	167.340000	-3.583600	-18.183000	1
62.153000	167.420000	-3.927600	-18.183000	1
62.137000	167.510000	-5.651200	-18.183000	1
62.122000	167.600000	-4.955100	-18.183000	1
62.106000	167.690000	-4.271500	-18.183000	1
62.090000	167.770000	-5.277600	-18.183000	1
62.074000	167.860000	-5.278000	-18.183000	1
62.058000	167.950000	-4.605500	-18.183000	1
63.983000	149.320000	-4.804300	-17.426000	1
63.980000	149.420000	-5.494500	-17.426000	1
63.977000	149.520000	-5.144200	-17.425000	1
63.974000	149.620000	-5.834400	-17.426000	1
63.971000	149.720000	-3.412100	-17.426000	1
63.969000	149.820000	-3.780600	-17.426000	1
63.965000	149.920000	-4.817000	-17.426000	1
63.962000	150.020000	-5.482400	-17.426000	1
63.959000	150.120000	-4.808000	-17.426000	1
63.956000	150.220000	-5.838400	-17.426000	1
63.953000	150.310000	-4.807700	-17.426000	1
63.949000	150.410000	-6.512300	-17.426000	1
63.946000	150.510000	-2.384400	-17.426000	1
63.942000	150.610000	-3.764600	-17.426000	1
63.939000	150.710000	-4.802500	-17.426000	1
63.935000	150.810000	-4.108400	-17.426000	1
63.931000	150.910000	-1.706300	-17.426000	1
63.927000	151.010000	-4.119400	-17.426000	1
63.923000	151.110000	-3.429000	-17.426000	1
63.919000	151.210000	-4.824300	-17.426000	1
63.915000	151.310000	-2.744800	-17.426000	1
63.911000	151.410000	-5.138200	-17.426000	1
63.907000	151.510000	-7.235200	-17.426000	1
62.308000	166.840000	-3.756400	-17.425000	1
62.293000	166.930000	-3.423900	-17.425000	1
62.278000	167.020000	-3.406600	-17.425000	1
62.262000	167.110000	-3.774400	-17.425000	1
62.247000	167.200000	-1.686500	-17.425000	1
62.232000	167.290000	-4.787700	-17.425000	1
62.216000	167.370000	-3.060100	-17.425000	1
62.201000	167.460000	-4.767100	-17.426000	1
62.185000	167.550000	-5.150900	-17.426000	1
62.169000	167.640000	-0.683910	-17.425000	1
62.154000	167.720000	-5.155500	-17.425000	1
62.138000	167.810000	-5.141100	-17.425000	1
62.122000	167.900000	-2.388100	-17.425000	1
62.106000	167.990000	-4.802100	-17.425000	1
64.038000	149.130000	-5.764600	-16.663000	1
64.036000	149.230000	-6.478600	-16.663000	1
64.033000	149.320000	-4.722600	-16.663000	1
64.031000	149.420000	-5.755300	-16.663000	1
64.028000	149.520000	-6.447000	-16.663000	1
64.025000	149.620000	-5.073400	-16.663000	1
64.022000	149.720000	-2.991300	-16.663000	1
64.019000	149.820000	-2.345900	-16.663000	1
64.016000	149.920000	-4.042500	-16.663000	1
64.013000	150.020000	-5.440400	-16.663000	1
64.010000	150.120000	-4.371300	-16.663000	1
64.007000	150.220000	-5.101300	-16.663000	1
64.003000	150.320000	-5.405200	-16.663000	1
64.000000	150.420000	-5.096100	-16.663000	1
63.996000	150.520000	-2.997100	-16.663000	1
63.993000	150.620000	-6.785100	-16.663000	1
63.989000	150.720000	-6.784800	-16.663000	1
63.985000	150.820000	-4.044700	-16.663000	1
63.982000	150.920000	-5.067600	-16.663000	1
